"1. fasilitas komputer laboratorium diperbaiki, agar semua komputer dapat 
berfungsi dan dapat digunakan oleh pratikum.
2. ruang pratikum seharusnya diperluas karena terkesan terlalu sempit jika 
digun";netral
1 aja CUKUP;netral
a1 bagus <div></div>;positif
a aamiin;netral
absennya ya pak;negatif
absennya ya pak hehe;negatif
ac di salah satu ruang lantai 3 buruk;netral
ac kadang mati, lcd proyektor tidak jelas;netral
ac ruangan sering mati ;netral
ada nilai + buat mahasiswa semester tua, biar lebih semangat lagi;negatif
agak kurang paham pembelajaran yang disampaikan ;negatif
agak kurang paham penjelasan yang diberikan ;negatif
agak lebih pelan kalau menjelaskan bu;negatif
agar lebih baik;negatif
agar tidak terburu buru dalam menyampaikan materi;negatif
alangkah baik jika selalu masuk;negatif
alangkah baiknya kalau menerangkan mulai dari dasarnya supaya kedepannya mahasiswa tidak kebingungan kalau langsung ke intinya;negatif
alhamdulilah kuliah beliau mudahbdipahami;positif
alhamdulilah materi tersampaikan;positif
alhamdulilah terbaik ;positif
alhamdulillah;positif
alhamdulillah, penyampaian materi cukup jelas.;positif
alhamdulillah, terima kasih atas ilmunya pak;positif
alhamdulillah.sudah baik;positif
alhamdulillah baik;positif
alhamdulillah baik dapat dimengerti;positif
alhamdulillah bisa mengikuti pembelajaran ibu;positif
alhamdulillah ðÿ™‚;positif
alhamdulillah gaada;positif
alhamdulillah ilmu agama saya mengalami perkembangan pak;positif
alhamdulillah kedepannya bismillah upgrade lagi ya hehe;positif
alhamdulillah mulai bisa mempelajari ilmu baru bu;positif
alhamdulillah paham;positif
alhamdulillah sae;positif
alhamdulillah saya pribadi merasakan banyak perkembangan saat diajar oleh bapak;positif
alhamdulillah sedikit demi sedikit saya mulai terasah dalam mendalami ilmu kalkulus bu;positif
alhamdulillah skill bahasa inggris saya meningkat bu;positif
amanah nomer 1;positif
"asiappp
";netral
asik dan menyenangkan ;positif
"asikk sii
";positif
"assalamu'alaikum.
bagus dalam penyampaian materi.";positif
"assalamu'alaikum.
dalam hal mengajar ibu lia adalah dosen yang terbaik menurut saya, karena interaksi antara dosen dan mahasiswa terjalin ketika masa perkuliahan.";positif
"assalamu'alaikum.
dalam metode pembelajaran mungkin bapak perlu untuk melakukan pendekatan kepada mahasiswa agar mahasiswa lebih aktif dan kritis terhadap materi yang disampaikan. ";negatif
assalamualaikum, kalau bisa jadwalnya lebih tertata lagi bu;negatif
assalamualaikum wr.wb , banyaknya materi yg diberikan, sehingga waktu tidak cukup untuk menghapal semuanya yg dikatakan dosen , sebaiknya dosen memberikan modul yg dapat dibaca diluar jam kuliah ;negatif
assalamualaikum wr.wb. , ;netral
assalamualaikum wr.wb. , sangat baik dan menerima keluhan mahasiswa , sebaiknya lebih melungkan waktu sabagimana pak roni menjadi wakil dekan ;negatif
assalamualaikum wr.wb. , sebaiknya jadwal yg diberikan dosen/tu dapat terealisasi dengan baik ;negatif
"assalamualaikum wr.wb 
untuk kedepannya semoga metode evaluasi dan sistem penilaian dan pengembangan soft skill mahasiswa lebih bisa di tingkatkan kembali, terimakasih.";negatif
atur lagi waktunya ya saat matkul;negatif
bagaimana akreditasi informatika?????????????????????????;netral
bagsu;positif
bague;positif
bagus;positif
bagus, tidak ada evaluasi;positif
bagus â¤;positif
bagus banget;positif
bagus bu;positif
bagus dalam menerangkan;positif
"bagus dalam menjelaskan dan mudah dipahami ""tingkatkan""";positif
bagus dalam pembelajaran;positif
bagus dan dipertahankan;positif
bagus dlam memberikan mata kulih yang diajarkan;positif
bagusekali;positif
bagus pak;positif
baguss;positif
bagus sekali;positif
bagus tingkatkan lagi;positif
baii;positif
" baiik
";positif
baik;positif
"baik, lebih ditingkatkan lg dlm pembelajran
";negatif
baik, memahamkan;positif
"baik, mungkin dalam pengajaran jangan tergesa"" dan mencoba cara pengajaran yang berbeda. agar mahasiswa lebih paham tentang materi yang diajarkan";negatif
baik, penyampaian jelas;positif
baik,  perlu di tingkatkan lagi agar mahasiswa  senang dalam mengikuti matkul ini;negatif
baik,sabar banget sama mahasiswanya pada saat mengajar,bertoleransi;positif
"baik, sudah baik, sangat bagus & baik
";positif
baik, terimakasih untuk hadiah lombanya bu;positif
baik, tidak ada evaluasi;positif
baik bila mengajar;positif
baik bu;positif
baik bu, kalau ngasih tugas di learning di beritahu yaa dan terakhir uplodenya di beri tahu ok;negatif
baik dalam belajar mengajar;positif
baik dalam  elanar mengajar dan menguasi materi ;positif
baik dalam mengajar;positif
baik dalam mengajar, pertahankan ;positif
baik dalam mengajar, tetapi penyampaian materi terlalu cepat;positif
baik dalam mengajarbdan disiplin;positif
baik dalam mengajar dan disiplin;positif
baik dalam mengajar dan menyampaikan materi;positif
baik dalam mengajar tetapi cara menyampaikan materi terlalu cepat. ;negatif
baik dalam mengjar dan disiplin ;positif
"baik dalam menjelaskan pak, tapi masih kurang jelas dalam menjelaskan.
semoga di beri kelancaran dalam memberikan ilmu";negatif
baik dalam menyampaiakan materi;positif
baik dalam menyampaikan materi;positif
baik dalam menyampaikan materi dan pembelajaran;positif
baik dalam menyampaikan materi good job;positif
baik dalam menyampaikan materi tetapi terlalu dalam menyampaikan materi ;negatif
baik dalam menyampaikan materi tidak terlalu cepat;positif
baik dalam pembelajaran;positif
baik dalam pembelajaran dan menyampaikan materi ;positif
baik dalam penyampaian;positif
 baik dalam penyampaiyan;positif
baik dalam proses pembelajaran;positif
baik dalan proses mengajar;positif
baik dan bagus;positif
baik dan berwibawa;positif
baik dan disiplin;positif
baik dan disiplin ;positif
baik dan disiplin dalam pembelajaran;positif
baik dan ditingkatkan lgi kualitas mengajarnya;negatif
baik dan memuaskan;positif
baik dan menghibur ;positif
baik dan menguasai materi;positif
baik dan semangat dalam mengajar;positif
baik dlm mngajar;positif
baik hati,bertoleransi,ramah,penyabar;positif
baik hati,ramah,bertoleransi,selow enak kalo mengajar;positif
baik hati,ramah,penyabar;positif
baik hati,sabar banget dalam menghadapi mahasiswanya pada saat mengajar,bertoleransi;positif
baik hati dan mengharuskan mahasiswa nya paham akan materi pembelajaran nya ;positif
baikk sekali;positif
baik lahh;positif
baik saat menyampaikan mata kuliah, ramah, dan mudah di pahami;positif
baik sekali;positif
baik tapi kurang detail;negatif
baik tetapi terlalu cepat ketika menjelaskan materi ;negatif
baik tidak terlalu cepet dalam menyampaikan materi;positif
baik yg terkait pada pelajaran;positif
baiq;positif
b aja;netral
banyak2 di ajak ngoding pak;negatif
banyakin latihan soal dan materi, soal ujian sesuai yang diajarkan. ;negatif
banyakin tugas sama materi, jangan kosong terus;negatif
banyak kuliah yang kosong;negatif
banyak matkul yang kosong, kurang tepat waktu meskipun sebenanarny dalam proses pembelajaran menyenangkan tidak kaku dan sering bergurau menghidupkan suasana kelas;negatif
banyak yang harus dibenahi terutama penyampaian materi terimakasih;negatif
bapak harus tegas pak terhadap mahasiswa, saat pengajaran banyak sibuk dengan hp dan murid yang berdiskusi sendiri/mengobrol dan itu mengganggu pembelajaran saya ;negatif
bapak kalau hari ini ada matkul dan ternyata bapak juga ada kepentingan rapat atau pergi keluar kota alangkah baiknya menghubungi komting dulu biar kami nggak menunggu agak lama;negatif
bapak mengajarnya sudah cukup baik;positif
bapaknya hebat , tapi banyak mahasiswa kurang menerima ilmunya;positif
bapaknya sangat sabar;positif
barokah bu ilmunya makasih ;positif
barokallahu fiik pak;positif
bebas;netral
belajarnya efektif;positif
belajar sangat aktif;positif
"belajar sangat aktif
";positif
beri waktu agak lama bqgi mahasiswa untuk mencatat;negatif
bertele-tele dalam mengajar;negatif
beruntung bisa kasih materi sama ibu, memberikan materinya sangat baik dan ibu sangat humoris yang bikin mahasiswa itu lebih dekat dalam proses pembelajaran di pelajaran sli. terima kasih bu ;positif
best best best;positif
be the best ðÿ˜š;positif
bicara nya agak pelan ya bu hehe;negatif
bik;netral
bik, tidak ada evaluasi;positif
bisa diselingi dengan cara belajar yg lebih menarik agar mahasiswanya tidak monoton;negatif
bisa lebih bergaaul dengan mahasiswa/i saat proses pembelajaran.;negatif
bisa lebih lama dalam pembelajaran dikelas dan menjelaskan secara sistematis;negatif
bisa lebih menghidupkan suasana kelas agar mahasiswa semangat dalam belajar;negatif
bisa lebih menjelaskan materi secara sistematis;negatif
bisa lebih tepat waktu kedepannya;negatif
bismillah semoga nilai saya bagus ya pak. amin.;netral
